section,text,sub_section,decade
Politics and wars,"Coups
The most prominent coups d'état of the decade include:
2000 overthrow of Slobodan Milošević in the Federal Republic of Yugoslavia – after Slobodan Milošević was accused by opposition figures of winning the 2000 election through electoral fraud, mass protests led by the opposition movement Otpor! pressure Slobodan Milošević to resign. Milošević was later arrested in 2001 and sent to the Hague to face war crimes charges for his alleged involvement in war crimes of the Yugoslav Wars.
2002 Venezuelan coup d'état attempt – a failed military coup d'état on April 11, 2002, which aimed to overthrow the president of Venezuela Hugo Chávez. During the coup Hugo Chávez was arrested and Pedro Carmona became the interim President for 47 hours. The coup led to a pro-Chávez uprising that the Metropolitan Police attempted to suppress. The pro-Chávez Presidential Guard eventually retook the Miraflores presidential palace without firing a shot, leading to the collapse of the Carmona government.
2004 Haitian coup d'état – a conflict fought for several weeks in Haiti during February 2004 that resulted in the premature end of President Jean-Bertrand Aristide's second term, and the installment of an interim government led by Gérard Latortue.
2006 Thai coup d'état – on September 19, 2006, while the elected Thai Prime Minister Thaksin Shinawatra was in New York for a meeting of the UN, Army Commander-in-Chief Lieutenant General Sonthi Boonyaratglin launched a bloodless coup d'état.
Fatah–Hamas conflict (2006–2009) – an armed conflict fought between the two main Palestinian factions, Fatah and Hamas with each vying to assume political control of the Palestinian territories. In June 2007, Hamas took control of the entire Gaza Strip, and established a separate government while Fatah remained in control of the West Bank. This in practice divided the Palestinian Authority into two. Various forces affiliated with Fatah engaged in combat with Hamas, in numerous gun battles. Most Fatah leaders eventually escaped to Egypt and the West Bank, while some were captured and killed.
2009 Honduras coup d'état – The armed forces of the country entered the president's residence and overthrew president Manuel Zelaya. (see 2009 Honduran constitutional crisis).

",Coups,2000s (decade)
Politics and wars,"Nuclear threats
Since 2005, Iran's nuclear program has become the subject of contention with the Western world due to suspicions that Iran could divert the civilian nuclear technology to a weapons program. This has led the UN Security Council to impose sanctions against Iran on select companies linked to this program, thus furthering its economic isolation on the international scene. The U.S. Director of National Intelligence said in February 2009 that Iran would not realistically be able to a get a nuclear weapon until 2013, if it chose to develop one.
In 2003, the United States invaded Iraq over allegations that its leader Saddam Hussein was stockpiling weapons of mass destruction including chemical and biological weapons or was in the process of creating them. None were found, spawning multiple theories.
North Korea successfully performed two nuclear tests in 2006 and 2009.
Operation Orchard – during the operation, Israel bombed what was believed to be a Syrian nuclear reactor on September 6, 2007, which was thought to be built with the aid of North Korea. The White House and Central Intelligence Agency (CIA) later declared that American intelligence indicated the site was a nuclear facility with a military purpose, though Syria denies this.
The Doomsday Clock, the symbolic representation of the threat of nuclear annihilation, moved four minutes closer to midnight: two minutes in 2002 and two minutes in 2007 to 5 minutes to midnight.

",Nuclear threats,2000s (decade)
Politics and wars,"Decolonization and independence
East Timor regains independence from Indonesia in 2002. Portugal granted independence to East Timor in 1975, but it was soon after invaded by Indonesia, which only recognized East Timorese independence in 2002.
Montenegro gains independence from Serbia in 2006, ending the 88-year-old Yugoslavia. Although not an EU member, Montenegro uses the Euro as its national currency.
Kosovo declares independence from Serbia in 2008, though its independence still remains unrecognized by many countries.
On August 23, 2005, Israel's unilateral disengagement from 25 Jewish settlements in the Gaza Strip and West Bank ends.
On August 26, 2008, Russia formally recognises the disputed Georgian regions of Abkhazia and South Ossetia as independent states. The vast majority of United Nations member states maintain that the areas belong to Georgia.

",Decolonization and independence,2000s (decade)
Politics and wars,"Democracy
During this decade, the peaceful transfer of power through elections first occurred in Mexico, Indonesia, Taiwan, Colombia, and several other countries. (See below.)

",Democracy,2000s (decade)
Politics and wars,"Prominent political events
The prominent political events of the decade include:

North America
Canada
Paul Martin replaces Jean Chrétien as Prime Minister of Canada in 2003 by becoming the new leader of the Liberal Party. Stephen Harper was elected prime minister in 2006 following the defeat of Paul Martin's government in a motion of no confidence.

Greenland
Greenland was granted further Self-governance (or ""self-rule"") within the Kingdom of Denmark on June 21, 2009.

Mexico
Vicente Fox was elected President of Mexico in the 2000 presidential election, making him the first president elected from an opposition party in 71 years, defeating the then-dominant Institutional Revolutionary Party (PRI).

United States
George W. Bush was sworn in succeeding Bill Clinton as the 43rd President of the United States on January 20, 2001, following a sharply contested election.
On October 26, 2001, U.S. President George W. Bush signed the USA PATRIOT Act into law.
On February 15, 2003, anti-war protests broke out around the world in opposition to the U.S. Invasion of Iraq, in what the Guinness Book of World Records called the largest anti-war rally in human history. In reaction, The New York Times writer Patrick Tyler wrote in a February 17 article that: ...the huge anti-war demonstrations around the world this weekend are reminders that there may still be two superpowers on the planet: the United States and world public opinion.
On June 5, 2004, Ronald Reagan, the 40th President of the United States, died after having suffered from Alzheimer's disease for nearly a decade. His seven-day state funeral followed, spanning June 5–11. The general public stood in long lines waiting for a turn to view the casket. People passed by the casket at a rate of about 5,000 per hour (83.3 per minute resp. 1.4 per second) and the wait time was about three hours. In all, 104,684 passed through when Reagan lay in state.
Barack Obama was sworn in as the 44th President of the United States in 2009, becoming the nation's first African American president.

South America
Álvaro Uribe is elected President of Colombia in 2002, the first political independent to do so in more than a century and a half, creating the right-wing political movement known as uribism. Uribe was re-elected in 2006.
In 2006, Michele Bachelet is elected as the first female President of Chile.
Left-wing governments emerge in South American countries. These governments include those of Hugo Chávez in Venezuela since 1999, Fernando Lugo in Paraguay, Rafael Correa in Ecuador, and Evo Morales in Bolivia. With the creation of the ALBA, Fidel Castro—leader of Cuba between 1959 and 2008—and Hugo Chávez reaffirmed their opposition to the aggressive militarism and imperialism of the United States.
Luiz Inácio Lula da Silva was elected (2002) and reelected (2006) President of Brazil.
In 2007, Cristina Fernández de Kirchner became the first directly elected female President of Argentina
May 23, 2008 – The Union of South American Nations, a supranational union, is made from joining together the Andean Community and Mercosur.
November 19, 2000 – Peruvian dictator/president Alberto Fujimori resigns via fax. Valentín Paniagua is named Temporary President.

Asia
On May 18, 2000, Chen Shui-bian was elected as the president of Taiwan, ending the half-century rule of the KMT on the island, and became the first president of the DPP.
Israeli withdrawal from the Israeli security zone in southern Lebanon – on May 25, 2000, Israel withdrew IDF forces from the Israeli occupation of southern Lebanon in southern Lebanon after 22 years.
In July 2000 the Camp David 2000 Summit was held which was aimed at reaching a ""final status"" agreement between the Palestinians and the Israelis. The summit collapsed after Yasser Arafat would not accept a proposal drafted by American and Israeli negotiators. Barak was prepared to offer the entire Gaza Strip, a Palestinian capital in a part of East Jerusalem, 73% of the West Bank (excluding eastern Jerusalem) raising to 90–94% after 10–25 years, and financial reparations for Palestinian refugees for peace. Arafat turned down the offer without making a counter-offer.
January 20, 2001 – June 30, 2010 – Gloria Macapagal-Arroyo was the 14th President of the Republic of the Philippines.
2002 – Recep Tayyip Erdoğan was elected as Prime Minister of Turkey. Abdullah Gül was elected as President of Turkey.
March 15–16, 2003 – CPC General Secretary, President Hu Jintao and Premier Wen Jiabao, replaced former People's Republic of China leaders Jiang Zemin and Zhu Rongji.
2003 – the 12-year self-government in Iraqi Kurdistan ends, developed under the protection of the UN ""No-fly zone"" during the now-ousted Saddam Hussein regime.
2003 – Prime minister of Malaysia Mahathir Muhammad resigns in October, he was succeeded by Abdullah bin Ahmad Badawi.
Manmohan Singh was elected (2004) and reelected (2009) Prime Minister in India. He is the only Prime Minister since Jawaharlal Nehru to return to power after completing a full five-year term. Singh previously carried out economic reforms in India in 1991, during his tenure as the Finance Minister.
January 9, 2005 – Mahmoud Abbas is elected to succeed Yasser Arafat as Palestinian Authority President.
August 1, 2005 – Fahd, the King of Saudi Arabia from 1982 to 2005, died and is replaced by King Abdullah.
January 4, 2006 – Powers are transferred from Israeli Prime Minister Ariel Sharon to his deputy, Vice Prime Minister Ehud Olmert, after Sharon suffers a massive hemorrhagic stroke.
December 30, 2006 – Former leader of Iraq Saddam Hussein is executed.
2007 – The King of Nepal is suspended from exercising his duties by the newly formed interim legislature on January 15, 2007.
2007 political crisis in Pakistan, Pervez Musharraf retired after the assassination of Benazir Bhutto
2008 – Nepal becomes the youngest democracy of the world by transforming from a constitutional monarchy to a socialist republic on May 28, 2008.
2008–10 Thai political crisis and 2010 Thai political protests by ""red shirts"" demonstrations.
 2009 Iranian election protests – The 2009 Iranian presidential election sparked massive protests in Iran and around the world against alleged electoral fraud and in support of defeated candidate Mir-Hossein Mousavi. During the protests the Iranian authorities closed universities in Tehran, blocked web sites, blocked cell phone transmissions and text messaging, and banned rallies. Several demonstrators in Iran were killed or imprisoned during the protests. Dozens of human casualties were reported or confirmed.
Death and funeral of Corazon Aquino – Former President Corazon Aquino of the Philippines died of cardiorespiratory arrest on August 1, 2009, at the age of 76 after being in hospital from June 2009, and being diagnosed with colorectal cancer in March 2008.

Europe
The Mayor of London is an elected politician who, along with the London Assembly of 25 members, is accountable for the strategic government of Greater London. The role, created in 2000 after the London devolution referendum, was the first directly elected mayor in the United Kingdom.
The Netherlands becomes the first country in the world to fully legalize same-sex marriage on April 1, 2001.
Silvio Berlusconi becomes Prime Minister of Italy in 2001 and again in 2008, after two years of a government held by Romano Prodi, dominating the political scene for more than a decade and becoming the longest-serving post-war Prime Minister.
European integration makes progress with the definitive circulation of the euro in twelve countries in 2002 and the widening of European Union to 27 countries in 2007. A European Constitution bill is rejected by French and Dutch voters in 2005, but a similar text, the Treaty of Lisbon, is drafted in 2007 and finally adopted by the 27 members countries.
June 1–4, 2002 – The Golden Jubilee of Queen Elizabeth II was the international celebration marking the 50th anniversary of the accession of Elizabeth II to the thrones of seven countries.
José Luis Rodríguez Zapatero replaced José María Aznar as President of the Government of Spain in 2004.
Pope John Paul II dies on April 2, 2005. Pope Benedict XVI is elected on April 19, 2005.
Angela Merkel becomes the first female Chancellor of Germany in 2005.
The St Andrews Agreement signed in St Andrews, Fife, Scotland to restore the Northern Ireland Assembly and bring in the principle of policing by consent with the Police Service of Northern Ireland with all parties in 2006.
Nicolas Sarkozy is elected President of France in 2007 succeeding Jacques Chirac, who had held the position for 12 years.
Gordon Brown succeeds Tony Blair as Prime Minister of the United Kingdom in 2007.
Tony Blair was officially confirmed as Middle East envoy for the United Nations, European Union, United States, and Russia in 2007.
Dmitry Medvedev succeeded Vladimir Putin as the President of Russia in 2008.
Parties broadly characterised by political scientists as being right-wing populist soar throughout the 2000s, in the wake of increasing anti-Islam and anti-immigration sentiment in most Western European countries. By 2010, such parties (albeit often significant differences between them) were present in the national parliaments of Belgium, the Netherlands, Denmark, Norway, Sweden, Finland, Switzerland, Austria, Italy and Greece. In Austria, Italy and Switzerland, the Freedom Party of Austria, Lega Nord and Swiss People's Party, respectively, were at times also part of the national governments, and in Denmark, the Danish People's Party tolerated a right-liberal minority government from 2001 throughout the decade. While not being present in the national parliaments of France and the United Kingdom, Jean-Marie Le Pen of the National Front came second in the first round of the 2002 French presidential elections, and in the 2009 European Parliament election, the UK Independence Party came second, beating even the Labour Party, while the British National Party managed to win two seats for the first time.

",Prominent political events,2000s (decade)
Politics and wars,"North America
Canada
Paul Martin replaces Jean Chrétien as Prime Minister of Canada in 2003 by becoming the new leader of the Liberal Party. Stephen Harper was elected prime minister in 2006 following the defeat of Paul Martin's government in a motion of no confidence.

Greenland
Greenland was granted further Self-governance (or ""self-rule"") within the Kingdom of Denmark on June 21, 2009.

Mexico
Vicente Fox was elected President of Mexico in the 2000 presidential election, making him the first president elected from an opposition party in 71 years, defeating the then-dominant Institutional Revolutionary Party (PRI).

United States
George W. Bush was sworn in succeeding Bill Clinton as the 43rd President of the United States on January 20, 2001, following a sharply contested election.
On October 26, 2001, U.S. President George W. Bush signed the USA PATRIOT Act into law.
On February 15, 2003, anti-war protests broke out around the world in opposition to the U.S. Invasion of Iraq, in what the Guinness Book of World Records called the largest anti-war rally in human history. In reaction, The New York Times writer Patrick Tyler wrote in a February 17 article that: ...the huge anti-war demonstrations around the world this weekend are reminders that there may still be two superpowers on the planet: the United States and world public opinion.
On June 5, 2004, Ronald Reagan, the 40th President of the United States, died after having suffered from Alzheimer's disease for nearly a decade. His seven-day state funeral followed, spanning June 5–11. The general public stood in long lines waiting for a turn to view the casket. People passed by the casket at a rate of about 5,000 per hour (83.3 per minute resp. 1.4 per second) and the wait time was about three hours. In all, 104,684 passed through when Reagan lay in state.
Barack Obama was sworn in as the 44th President of the United States in 2009, becoming the nation's first African American president.

",North America,2000s (decade)
Politics and wars,"Canada
Paul Martin replaces Jean Chrétien as Prime Minister of Canada in 2003 by becoming the new leader of the Liberal Party. Stephen Harper was elected prime minister in 2006 following the defeat of Paul Martin's government in a motion of no confidence.

",Canada,2000s (decade)
Politics and wars,"Greenland
Greenland was granted further Self-governance (or ""self-rule"") within the Kingdom of Denmark on June 21, 2009.

",Greenland,2000s (decade)
Politics and wars,"Mexico
Vicente Fox was elected President of Mexico in the 2000 presidential election, making him the first president elected from an opposition party in 71 years, defeating the then-dominant Institutional Revolutionary Party (PRI).

",Mexico,2000s (decade)
Politics and wars,"United States
George W. Bush was sworn in succeeding Bill Clinton as the 43rd President of the United States on January 20, 2001, following a sharply contested election.
On October 26, 2001, U.S. President George W. Bush signed the USA PATRIOT Act into law.
On February 15, 2003, anti-war protests broke out around the world in opposition to the U.S. Invasion of Iraq, in what the Guinness Book of World Records called the largest anti-war rally in human history. In reaction, The New York Times writer Patrick Tyler wrote in a February 17 article that: ...the huge anti-war demonstrations around the world this weekend are reminders that there may still be two superpowers on the planet: the United States and world public opinion.
On June 5, 2004, Ronald Reagan, the 40th President of the United States, died after having suffered from Alzheimer's disease for nearly a decade. His seven-day state funeral followed, spanning June 5–11. The general public stood in long lines waiting for a turn to view the casket. People passed by the casket at a rate of about 5,000 per hour (83.3 per minute resp. 1.4 per second) and the wait time was about three hours. In all, 104,684 passed through when Reagan lay in state.
Barack Obama was sworn in as the 44th President of the United States in 2009, becoming the nation's first African American president.

",United States,2000s (decade)
Politics and wars,"South America
Álvaro Uribe is elected President of Colombia in 2002, the first political independent to do so in more than a century and a half, creating the right-wing political movement known as uribism. Uribe was re-elected in 2006.
In 2006, Michele Bachelet is elected as the first female President of Chile.
Left-wing governments emerge in South American countries. These governments include those of Hugo Chávez in Venezuela since 1999, Fernando Lugo in Paraguay, Rafael Correa in Ecuador, and Evo Morales in Bolivia. With the creation of the ALBA, Fidel Castro—leader of Cuba between 1959 and 2008—and Hugo Chávez reaffirmed their opposition to the aggressive militarism and imperialism of the United States.
Luiz Inácio Lula da Silva was elected (2002) and reelected (2006) President of Brazil.
In 2007, Cristina Fernández de Kirchner became the first directly elected female President of Argentina
May 23, 2008 – The Union of South American Nations, a supranational union, is made from joining together the Andean Community and Mercosur.
November 19, 2000 – Peruvian dictator/president Alberto Fujimori resigns via fax. Valentín Paniagua is named Temporary President.

",South America,2000s (decade)
Politics and wars,"Asia
On May 18, 2000, Chen Shui-bian was elected as the president of Taiwan, ending the half-century rule of the KMT on the island, and became the first president of the DPP.
Israeli withdrawal from the Israeli security zone in southern Lebanon – on May 25, 2000, Israel withdrew IDF forces from the Israeli occupation of southern Lebanon in southern Lebanon after 22 years.
In July 2000 the Camp David 2000 Summit was held which was aimed at reaching a ""final status"" agreement between the Palestinians and the Israelis. The summit collapsed after Yasser Arafat would not accept a proposal drafted by American and Israeli negotiators. Barak was prepared to offer the entire Gaza Strip, a Palestinian capital in a part of East Jerusalem, 73% of the West Bank (excluding eastern Jerusalem) raising to 90–94% after 10–25 years, and financial reparations for Palestinian refugees for peace. Arafat turned down the offer without making a counter-offer.
January 20, 2001 – June 30, 2010 – Gloria Macapagal-Arroyo was the 14th President of the Republic of the Philippines.
2002 – Recep Tayyip Erdoğan was elected as Prime Minister of Turkey. Abdullah Gül was elected as President of Turkey.
March 15–16, 2003 – CPC General Secretary, President Hu Jintao and Premier Wen Jiabao, replaced former People's Republic of China leaders Jiang Zemin and Zhu Rongji.
2003 – the 12-year self-government in Iraqi Kurdistan ends, developed under the protection of the UN ""No-fly zone"" during the now-ousted Saddam Hussein regime.
2003 – Prime minister of Malaysia Mahathir Muhammad resigns in October, he was succeeded by Abdullah bin Ahmad Badawi.
Manmohan Singh was elected (2004) and reelected (2009) Prime Minister in India. He is the only Prime Minister since Jawaharlal Nehru to return to power after completing a full five-year term. Singh previously carried out economic reforms in India in 1991, during his tenure as the Finance Minister.
January 9, 2005 – Mahmoud Abbas is elected to succeed Yasser Arafat as Palestinian Authority President.
August 1, 2005 – Fahd, the King of Saudi Arabia from 1982 to 2005, died and is replaced by King Abdullah.
January 4, 2006 – Powers are transferred from Israeli Prime Minister Ariel Sharon to his deputy, Vice Prime Minister Ehud Olmert, after Sharon suffers a massive hemorrhagic stroke.
December 30, 2006 – Former leader of Iraq Saddam Hussein is executed.
2007 – The King of Nepal is suspended from exercising his duties by the newly formed interim legislature on January 15, 2007.
2007 political crisis in Pakistan, Pervez Musharraf retired after the assassination of Benazir Bhutto
2008 – Nepal becomes the youngest democracy of the world by transforming from a constitutional monarchy to a socialist republic on May 28, 2008.
2008–10 Thai political crisis and 2010 Thai political protests by ""red shirts"" demonstrations.
 2009 Iranian election protests – The 2009 Iranian presidential election sparked massive protests in Iran and around the world against alleged electoral fraud and in support of defeated candidate Mir-Hossein Mousavi. During the protests the Iranian authorities closed universities in Tehran, blocked web sites, blocked cell phone transmissions and text messaging, and banned rallies. Several demonstrators in Iran were killed or imprisoned during the protests. Dozens of human casualties were reported or confirmed.
Death and funeral of Corazon Aquino – Former President Corazon Aquino of the Philippines died of cardiorespiratory arrest on August 1, 2009, at the age of 76 after being in hospital from June 2009, and being diagnosed with colorectal cancer in March 2008.

",Asia,2000s (decade)
Politics and wars,"Europe
The Mayor of London is an elected politician who, along with the London Assembly of 25 members, is accountable for the strategic government of Greater London. The role, created in 2000 after the London devolution referendum, was the first directly elected mayor in the United Kingdom.
The Netherlands becomes the first country in the world to fully legalize same-sex marriage on April 1, 2001.
Silvio Berlusconi becomes Prime Minister of Italy in 2001 and again in 2008, after two years of a government held by Romano Prodi, dominating the political scene for more than a decade and becoming the longest-serving post-war Prime Minister.
European integration makes progress with the definitive circulation of the euro in twelve countries in 2002 and the widening of European Union to 27 countries in 2007. A European Constitution bill is rejected by French and Dutch voters in 2005, but a similar text, the Treaty of Lisbon, is drafted in 2007 and finally adopted by the 27 members countries.
June 1–4, 2002 – The Golden Jubilee of Queen Elizabeth II was the international celebration marking the 50th anniversary of the accession of Elizabeth II to the thrones of seven countries.
José Luis Rodríguez Zapatero replaced José María Aznar as President of the Government of Spain in 2004.
Pope John Paul II dies on April 2, 2005. Pope Benedict XVI is elected on April 19, 2005.
Angela Merkel becomes the first female Chancellor of Germany in 2005.
The St Andrews Agreement signed in St Andrews, Fife, Scotland to restore the Northern Ireland Assembly and bring in the principle of policing by consent with the Police Service of Northern Ireland with all parties in 2006.
Nicolas Sarkozy is elected President of France in 2007 succeeding Jacques Chirac, who had held the position for 12 years.
Gordon Brown succeeds Tony Blair as Prime Minister of the United Kingdom in 2007.
Tony Blair was officially confirmed as Middle East envoy for the United Nations, European Union, United States, and Russia in 2007.
Dmitry Medvedev succeeded Vladimir Putin as the President of Russia in 2008.
Parties broadly characterised by political scientists as being right-wing populist soar throughout the 2000s, in the wake of increasing anti-Islam and anti-immigration sentiment in most Western European countries. By 2010, such parties (albeit often significant differences between them) were present in the national parliaments of Belgium, the Netherlands, Denmark, Norway, Sweden, Finland, Switzerland, Austria, Italy and Greece. In Austria, Italy and Switzerland, the Freedom Party of Austria, Lega Nord and Swiss People's Party, respectively, were at times also part of the national governments, and in Denmark, the Danish People's Party tolerated a right-liberal minority government from 2001 throughout the decade. While not being present in the national parliaments of France and the United Kingdom, Jean-Marie Le Pen of the National Front came second in the first round of the 2002 French presidential elections, and in the 2009 European Parliament election, the UK Independence Party came second, beating even the Labour Party, while the British National Party managed to win two seats for the first time.

",Europe,2000s (decade)
Politics and wars,"World leaders
2000 – 2001 – 2002 – 2003 – 2004 – 2005 – 2006 – 2007 – 2008 – 2009

",World leaders,2000s (decade)
Assassinations and attempts,"Assassinations and attempts
Prominent assassinations, targeted killings, and assassination attempts include:

January 16, 2001 – Laurent-Désiré Kabila, the President of the Democratic Republic of the Congo was assassinated by a bodyguard. The motive remains unexplained.
October 17, 2001 – Israeli Minister of Tourism Rehavam Ze'evi was assassinated by three Palestinian assailants, members of the Popular Front for the Liberation of Palestine.
May 6, 2002 – Pim Fortuyn, Dutch politician, was assassinated by environmentalist activist Volkert van der Graaf.
March 12, 2003 – Zoran Đinđić, Serbian and Montenegrin Prime Minister, is assassinated by Zvezdan Jovanović, a soldier of Milorad Ulemek, the former commander of the Special Operations Unit of Yugoslavia's secret police.
September 10, 2003 – Anna Lindh, Swedish foreign minister, was assassinated after being stabbed in the chest, stomach, and arms by Serbian and Montenegrin national Mijailo Mijailović while shopping in a Stockholm department store.
March 22, 2004 – Ahmed Yassin, the founder and spiritual leader of the militant Islamist group Hamas, was assassinated in the Gaza Strip by the Israeli Air Force.
November 2, 2004 – Theo van Gogh, Dutch filmmaker and critic of Islamic culture, was assassinated in Amsterdam by Mohammed Bouyeri.
February 14, 2005 – Rafic Hariri, former Prime Minister of Lebanon, was assassinated when explosives equivalent to around 1,000 kg of TNT were detonated as his motorcade drove past the St. George Hotel in Beirut. The assassination attempt also killed at least 16 other people and injured 120 others.
December 27, 2007 – Benazir Bhutto, former Pakistani prime minister, was assassinated at an election rally in Rawalpindi by a bomb blast. The assassination attempt also killed at least 80 other people.
March 2, 2009 – João Bernardo Vieira, President of Guinea-Bissau, was assassinated during an armed attack on his residence in Bissau.
May 31, 2009 – George Tiller, pro-choice advocate and late-term abortion provider, was assassinated at his church in Wichita, Kansas, by anti-abortion extremist Scott Roeder.

",Assassinations and attempts,2000s (decade)
Disasters,"Natural disasters
The 2000s experienced some of the worst and most destructive natural disasters in history.

Earthquakes (including tsunamis)
On January 13, 2001, a 7.6-magnitude earthquake strikes El Salvador, killing 944 people.
On January 26, 2001, an earthquake hits Gujarat, India, killing more than 12,000.
On February 28, 2001, the Nisqually earthquake hits the Seattle metro area. It caused major damage to the old highway standing in the urban center of Seattle.
On February 13, 2001, a 6.6-magnitude earthquake hits El Salvador, killing at least 400.
On May 21, 2003, an earthquake in the Boumerdès region of northern Algeria kills 2,200.
On December 26, 2003, the massive 2003 Bam earthquake devastates southeastern Iran; over 40,000 people are reported killed in the city of Bam.
On December 26, 2004, one of the worst natural disasters in recorded history hits southeast Asia, when the largest earthquake in 40 years hits the entire Indian Ocean region. The massive 9.3 magnitude earthquake, epicentered just off the west coast of the Indonesian island of Sumatra, generates enormous tsunami waves that crash into the coastal areas of a number of nations including Thailand, India, Sri Lanka, the Maldives, Malaysia, Myanmar, Bangladesh, and Indonesia. The official death toll from the Boxing Day tsunami in the affected countries with over 230,000 people dead.
On October 8, 2005, the 2005 Kashmir earthquake kills about 80,000 people.
On May 12, 2008, over 69,000 are killed in central south-west China by the Wenchuan quake, an earthquake measuring 7.9 on the moment magnitude scale. The epicenter was 90 kilometers (56 mi) west-northwest of the provincial capital Chengdu, Sichuan province.

Tropical cyclones, other weather, and bushfires
July 7–11, 2005 – Hurricane Dennis caused damage in the Caribbean and southeastern United States. Dennis killed a total of 88 people and caused $3.71 billion in damages.
August 28–29, 2005 – Hurricane Katrina made landfall in Mississippi, devastating the city of New Orleans and nearby coastal areas. Katrina was recognized as the costliest natural disaster in the United States at the time, after causing a record $108 billion in damages (a record later surpassed by Hurricane Harvey in 2017). Katrina caused over 1,200 deaths.
November 30, 2006 – Typhoon Durian (known in the Philippines as Typhoon Reming) affected the Philippines’ Bicol Region, and together with a concurrent eruption of Mayon Volcano, caused mudflows and killed more than 1,200 people.
August 30, 2007 - Group of Croatian firefighters who were flown in on the island Kornat as part of the 2007 coast fires firefighting efforts perished. Twelve out of thirteen men who found themselves surrounded by fire were killed in the event which was the biggest loss of lives in the history of Croatian firefighting.
May 3, 2008 – Cyclone Nargis had an extreme impact in Myanmar, causing nearly 140,000 deaths and $10 billion in damages.
June 21, 2008 – Typhoon Fengshen passed over Visayas, Philippines, sinking the ship MV Princess of the Stars, and killing more than 800 passengers.
February 7 - March 14, 2009 – The Black Saturday bushfires, the deadliest bushfires in Australian history, took place across the Australian state of Victoria during extreme bushfire-weather conditions, killing 173 people, injuring more than 500, and leaving around 7,500 homeless. The fires came after Melbourne recorded the highest-ever temperature (46.4 °C or 115.5 °F) of any capital city in Australia. The majority of the fires were caused by either fallen or clashing power lines, or arson.
Winter of 2009-2010 - The winter of 2009-2010 saw abnormally cold temperatures in Europe, Asia, and America. A total of 21 people were reported to have died as a result of the cold in the British Isles. On December 26, 2009, Saint Petersburg, Russia, was covered by 35 cm of snow, the largest December snowfall recorded in the city since 1881.
September 25–26, 2009 – Typhoon Ketsana (known in the Philippines as Tropical Storm Ondoy) caused flooding in the Philippines, mostly in the Manila Metropolitan area, killing nearly 700 people in total. Flooding levels reached a record of 20 ft (6.1 m) in rural areas.

Epidemics
Antibiotic resistance is a serious and growing phenomenon in contemporary medicine and has emerged as one of the eminent public health concerns of the 21st century, particularly as it pertains to pathogenic organisms (the term is not especially relevant to organisms which don't cause disease in humans).
The outbreak of foot-and-mouth disease in the United Kingdom in 2001 caused a crisis in British agriculture and tourism. This epizootic saw 2,000 cases of the disease in farms across most of the British countryside. Over 10 million sheep and cattle were killed.
Between November 2002 and July 2003, an outbreak of severe acute respiratory syndrome (SARS) occurred in Hong Kong, with 8,273 cases and 775 deaths worldwide (9.6% fatality) according to the World Health Organization (WHO). Within weeks, SARS spread from Hong Kong to infect individuals in 37 countries in early 2003.
Methicillin-resistant Staphylococcus aureus: the Office for National Statistics reported 1,629 MRSA-related deaths in England and Wales during 2005, indicating a MRSA-related mortality rate half the rate of that in the United States for 2005, even though the figures from the British source were explained to be high because of ""improved levels of reporting, possibly brought about by the continued high public profile of the disease"" during the time of the 2005 United Kingdom General Election. MRSA is thought to have caused 1,652 deaths in 2006 in UK up from 51 in 1993.

The 2009 H1N1 (swine flu) flu pandemic was also considered a natural disaster. On October 25, 2009, U.S. President Barack Obama officially declared H1N1 a national emergency Despite President Obama's concern, a Fairleigh Dickinson University PublicMind poll found in October 2009 that an overwhelming majority of New Jerseyans (74%) were not very worried or not at all worried about contracting the H1N1 flu virus.A study conducted in coordination with the University of Michigan Health Service is scheduled for publication in the December 2009 American Journal of Roentgenology warning that H1N1 flu can cause pulmonary embolism, surmised as a leading cause of death in this current pandemic. The study authors suggest physician evaluation via contrast enhanced CT scans for the presence of pulmonary emboli when caring for patients diagnosed with respiratory complications from a ""severe"" case of the H1N1 flu.March 21, 2010, worldwide update by the U.N.'s World Health Organization (WHO) states that ""213 countries and overseas territories/communities have reported laboratory confirmed cases of pandemic influenza H1N1 2009, including at least 16,931 deaths.""As of May 30, 2010, worldwide update by World Health Organization (WHO) more than 214 countries and overseas territories or communities have reported laboratory confirmed cases of pandemic influenza H1N1 2009, including over 18,138 deaths.Footnote:
The Walkerton Tragedy is a series of events that accompanied the contamination of the water supply of Walkerton, Ontario, Canada, by E. coli bacteria in May 2000.
Starting May 11, 2000, many residents of the community of about 5,000 people began to simultaneously experience bloody diarrhea, gastrointestinal infections and other symptoms of E. coli infection.
Seven people died directly from drinking the E. coli contaminated water, who might have been saved if the Walkerton Public Utilities Commission had admitted to contaminated water sooner, and about 2,500 became ill.
In 2001 a similar outbreak in North Battleford, Saskatchewan caused by the protozoan Cryptosporidium affected at least 5,800 people.

",Natural disasters,2000s (decade)
